food_name,category,calories_kcal,carbs_g,protein_g,fat_g,fiber_g,sodium_mg,cluster
고등어구이(석쇠),구이류,680,8,47,51,4,252,4
곱창구이(소고기),구이류,276,7,22,18,3,1972,0
김구이(조미김),구이류,24,1,1,2,1,201,3
꼬치구이(닭고기 대파),구이류,416,18,30,25,6,709,0
닭발구이,구이류,431,21,40,21,6,1819,0
떡갈비,구이류,404,5,43,24,2,808,0
뱅어포구이,구이류,262,18,24,11,5,1035,0
버섯구이,구이류,42,4,4,1,2,394,3
버섯구이(새송이버섯),구이류,67,9,3,2,4,370,3
버섯구이표고버섯,구이류,80,15,3,1,8,348,3
삼겹살구이,구이류,934,1,45,83,1,1152,4
삼겹살구이(고추장),구이류,806,25,28,66,8,1020,4
스테이크(소등심),구이류,388,0,60,16,2,268,4
스테이크(소안심),구이류,366,0,70,10,3,206,4
오리고기구이,구이류,586,10,48,39,4,1416,4
조개구이(키조개),구이류,234,19,31,4,7,817,0
참치구이(머리),구이류,347,3,48,16,11,826,0
치킨데리야끼,구이류,707,52,56,31,4,908,4
고구마전,전·적 및 부침류,318,50,4,11,5,122,3
달걀말이,전·적 및 부침류,193,1,17,13,1,449,0
달걀부침(달걀후라이)(햄),전·적 및 부침류,277,8,13,22,1,591,0
메밀전,전·적 및 부침류,290,63,7,1,5,261,2
버섯전(표고버섯),전·적 및 부침류,272,19,15,15,11,476,0
산적(돼지고기),전·적 및 부침류,340,3,49,15,8,996,0
완자전(돼지고기),전·적 및 부침류,278,13,30,12,7,1718,0
완자전(소고기),전·적 및 부침류,324,9,37,15,8,762,0
완자전(참치),전·적 및 부침류,346,27,30,13,5,1134,0
완자전(해물),전·적 및 부침류,444,36,23,23,3,1182,0
파전(해물),전·적 및 부침류,256,27,8,13,2,450,3
닭발볶음,볶음류,372,23,28,19,5,1948,0
닭볶음(닭갈비)(닭가슴살 피망),볶음류,98,1,13,5,2,392,3
당근볶음,볶음류,86,7,1,6,2,194,3
돼지고기볶음(채소),볶음류,389,20,38,17,3,796,0
돼지고기볶음(제육볶음),볶음류,488,12,30,35,9,1252,4
떡볶이,볶음류,259,47,6,5,1,704,3
떡볶이(채소),볶음류,516,114,6,4,2,538,2
마늘쫑볶음,볶음류,125,18,5,4,6,787,3
멸치볶음(마늘쫑),볶음류,138,6,16,5,4,1250,3
문어볶음(고추장),볶음류,176,17,22,2,2,974,0
버섯볶음(느타리),볶음류,47,3,1,3,2,262,3
버섯볶음(새송이버섯),볶음류,145,11,4,10,4,409,3
브로콜리볶음,볶음류,46,5,4,1,4,85,3
삼겹살볶음(묵은지김치),볶음류,302,17,12,21,6,1208,0
새우볶음,볶음류,166,12,20,4,2,652,0
소고기볶음(채소),볶음류,290,15,29,12,11,619,0
애호박 볶음,볶음류,30,3,1,2,1,224,3
잔멸치볶음(꽈리고추),볶음류,146,5,12,9,3,633,3
